Time,Level,Noise,Frequency,Bandwidth
21:19.9,-22.25,-41.58,103300,16000
21:19.9,-22.58,-41.59,103300,16000
21:20.0,-21.98,-41.59,103300,16000
21:20.1,-20.21,-41.62,103300,16000
21:20.1,-20.13,-41.6,103300,16000
21:20.2,-22.42,-41.65,103300,16000
21:20.2,-22.28,-41.65,103300,16000
21:20.3,-21.59,-41.64,103300,16000
21:20.3,-22.42,-41.64,103300,16000
21:20.3,-20.6,-41.68,103300,16000
21:20.4,-21.28,-41.7,103300,16000
21:20.5,-21.45,-41.7,103300,16000
21:20.5,-23.09,-41.71,103300,16000
21:20.6,-21.45,-41.71,103300,16000
21:20.6,-16,-41.78,103300,16000
21:20.7,-21.42,-41.83,103300,16000
21:20.7,-20.21,-41.8,103300,16000
21:20.8,-22.01,-41.82,103300,16000
21:20.8,-21.82,-41.82,103300,16000
21:20.8,-19.25,-41.83,103300,16000
21:20.9,-21.34,-41.82,103300,16000
21:20.9,-20.79,-41.8,103300,16000
21:21.0,-21.5,-41.84,103300,16000
21:21.1,-22.22,-41.8,103300,16000
21:21.1,-20,-41.82,103300,16000
21:21.2,-19.33,-41.76,103300,16000
21:21.2,-21.67,-41.72,103300,16000
21:21.2,-21.04,-41.75,103300,16000
21:21.3,-21.6,-41.75,103300,16000
21:21.4,-22.46,-41.71,103300,16000
21:21.4,-22.33,-41.7,103300,16000
21:21.4,-21.46,-41.71,103300,16000
21:21.5,-20.46,-41.7,103300,16000
21:21.6,-20.67,-41.66,103300,16000
21:21.6,-22.41,-41.66,103300,16000
21:21.7,-21.05,-41.62,103300,16000
21:21.7,-19.65,-41.62,103300,16000
21:21.8,-21.95,-41.72,103300,16000
21:21.8,-22.01,-41.72,103300,16000
21:21.9,-20.95,-41.75,103300,16000
21:21.9,-21.53,-41.77,103300,16000
21:22.0,-22.18,-41.77,103300,16000
21:22.0,-22.23,-41.77,103300,16000
21:22.1,-19.47,-41.8,103300,16000
21:22.1,-20.72,-41.78,103300,16000
21:22.2,-20.63,-41.83,103300,16000
21:22.2,-20.42,-41.88,103300,16000
21:22.3,-21.57,-41.9,103300,16000
21:22.3,-21.12,-41.91,103300,16000
21:22.3,-21.07,-41.92,103300,16000
21:22.4,-21.46,-41.93,103300,16000
21:22.4,-20.63,-41.92,103300,16000
21:22.5,-17.55,-41.92,103300,16000
21:22.5,-22.21,-41.92,103300,16000
21:22.6,-22.45,-41.94,103300,16000
21:22.7,-21.19,-41.98,103300,16000
21:22.7,-21.36,-41.97,103300,16000
21:22.8,-19.16,-41.94,103300,16000
21:22.8,-22.12,-41.94,103300,16000
21:22.9,-21.05,-41.92,103300,16000
21:22.9,-19.63,-41.89,103300,16000
21:22.9,-22.4,-41.89,103300,16000
21:23.0,-20.66,-41.86,103300,16000
21:23.1,-19.23,-41.81,103300,16000
21:23.1,-20.61,-41.79,103300,16000
21:23.2,-20.76,-41.78,103300,16000
21:23.2,-21.1,-41.75,103300,16000
21:23.3,-20.45,-41.72,103300,16000
21:23.3,-21.13,-41.72,103300,16000
21:23.4,-22.1,-41.7,103300,16000
21:23.5,-21.8,-41.7,103300,16000
21:23.5,-20.74,-41.7,103300,16000
21:23.6,-20.84,-41.69,103300,16000
21:23.6,-21.88,-41.69,103300,16000
21:23.6,-22.15,-41.63,103300,16000
21:23.7,-20.34,-41.63,103300,16000
21:23.7,-20.83,-41.61,103300,16000
21:23.8,-21.83,-41.61,103300,16000
21:23.8,-22.48,-41.6,103300,16000
21:23.9,-20.91,-41.64,103300,16000
21:24.0,-20.88,-41.68,103300,16000
21:24.0,-20.6,-41.64,103300,16000
21:24.1,-19.01,-41.64,103300,16000
21:24.1,-21.58,-41.73,103300,16000
21:24.2,-21.91,-41.73,103300,16000
21:24.2,-21.17,-41.8,103300,16000
21:24.3,-22.72,-41.82,103300,16000
21:24.4,-22.14,-41.82,103300,16000
21:24.4,-19.11,-41.81,103300,16000
21:24.5,-18.92,-41.85,103300,16000
21:24.5,-20.94,-41.85,103300,16000
21:24.6,-22.29,-41.92,103300,16000
21:24.6,-21.83,-41.95,103300,16000
21:24.7,-21.2,-41.97,103300,16000
21:24.7,-22.76,-41.95,103300,16000
21:24.8,-22.67,-41.98,103300,16000
21:24.8,-20.92,-41.97,103300,16000
21:24.9,-22.27,-41.97,103300,16000
21:24.9,-20.06,-42,103300,16000
21:24.9,-20.88,-41.97,103300,16000
21:25.0,-22.28,-41.97,103300,16000
21:25.1,-20.99,-42,103300,16000
21:25.1,-20.93,-42.02,103300,16000
21:25.1,-22.99,-42.02,103300,16000
21:25.2,-23.35,-42.04,103300,16000
21:25.3,-21.26,-42.07,103300,16000
21:25.3,-22.16,-42.1,103300,16000
21:25.3,-21.63,-42.14,103300,16000
21:25.4,-20.97,-42.14,103300,16000
21:25.4,-21.89,-42.11,103300,16000
21:25.5,-20.71,-42.04,103300,16000
21:25.6,-22.64,-42.03,103300,16000
21:25.6,-20.77,-42.03,103300,16000
21:25.7,-20.83,-42.01,103300,16000
21:25.7,-19.31,-42.03,103300,16000
21:25.8,-21.46,-42.03,103300,16000
21:25.8,-18.86,-42.03,103300,16000
21:25.9,-18.79,-42,103300,16000
21:25.9,-21.08,-41.96,103300,16000
21:25.9,-22.45,-41.96,103300,16000
21:26.0,-22.91,-41.93,103300,16000
21:26.1,-23.55,-41.96,103300,16000
21:26.1,-21.41,-41.96,103300,16000
21:26.2,-21.53,-41.94,103300,16000
21:26.2,-21.68,-41.93,103300,16000
21:26.2,-21.7,-41.91,103300,16000
21:26.3,-22.75,-41.91,103300,16000
21:26.3,-22.28,-41.85,103300,16000
21:26.4,-21.59,-41.86,103300,16000
21:26.4,-19.57,-41.9,103300,16000
21:26.6,-20.14,-41.96,103300,16000
21:26.6,-20.81,-41.99,103300,16000
21:26.7,-21.29,-42.02,103300,16000
21:26.7,-19.32,-42.04,103300,16000
21:26.8,-22,-42.06,103300,16000
21:26.8,-20.78,-42.1,103300,16000
21:26.8,-20.66,-42.08,103300,16000
21:26.9,-19.65,-42.11,103300,16000
21:27.0,-22.48,-42.17,103300,16000
21:27.0,-22.33,-42.21,103300,16000
21:27.1,-21.69,-42.19,103300,16000
21:27.1,-21.85,-42.18,103300,16000
21:27.2,-22.07,-42.18,103300,16000
21:27.2,-24.03,-42.2,103300,16000
21:27.3,-21.46,-42.22,103300,16000
21:27.3,-21,-42.24,103300,16000
21:27.4,-20.09,-42.26,103300,16000
21:27.4,-20.07,-42.3,103300,16000
21:27.5,-21.94,-42.29,103300,16000
21:27.5,-21.42,-42.28,103300,16000
21:27.6,-20.57,-42.24,103300,16000
21:27.6,-21.66,-42.24,103300,16000
21:27.6,-22.13,-42.29,103300,16000
21:27.7,-21.15,-42.28,103300,16000
21:27.7,-21.31,-42.24,103300,16000
21:27.8,-18.82,-42.21,103300,16000
21:27.9,-22.86,-42.22,103300,16000
21:27.9,-22.5,-42.21,103300,16000
21:27.9,-22.48,-42.22,103300,16000
21:28.0,-22.68,-42.22,103300,16000
21:28.1,-22.43,-42.23,103300,16000
21:28.1,-23.08,-42.23,103300,16000
21:28.1,-21.75,-42.22,103300,16000
21:28.2,-20.58,-42.2,103300,16000
21:28.3,-19.98,-42.17,103300,16000
21:28.3,-20.58,-42.14,103300,16000
21:28.4,-20.25,-42.14,103300,16000
21:28.4,-20.75,-42.12,103300,16000
21:28.5,-23.25,-42.13,103300,16000
21:28.5,-21.69,-42.16,103300,16000
21:28.6,-22.24,-42.16,103300,16000
21:28.6,-22.6,-42.17,103300,16000
21:28.7,-21.73,-42.17,103300,16000
21:28.7,-22.66,-42.17,103300,16000
21:28.8,-19.63,-42.17,103300,16000
21:28.8,-22.43,-42.21,103300,16000
21:28.9,-24.04,-42.26,103300,16000
21:28.9,-21.3,-42.28,103300,16000
21:29.0,-22.13,-42.27,103300,16000
21:29.0,-22.94,-42.29,103300,16000
21:29.0,-21.17,-42.31,103300,16000
21:29.1,-21.26,-42.34,103300,16000
21:29.2,-23.11,-42.43,103300,16000
21:29.2,-19.81,-42.41,103300,16000
21:29.2,-22.9,-42.41,103300,16000
21:29.3,-16.3,-42.48,103300,16000
21:29.3,-18.75,-42.53,103300,16000
21:29.4,-22.4,-42.55,103300,16000
21:29.4,-21.49,-42.55,103300,16000
21:29.5,-22.37,-42.55,103300,16000
21:29.6,-21.77,-42.56,103300,16000
21:29.6,-21.76,-42.56,103300,16000
21:29.7,-22.18,-42.47,103300,16000
21:29.7,-21.25,-42.48,103300,16000
21:29.8,-23.15,-42.44,103300,16000
21:29.8,-22.45,-42.47,103300,16000
21:29.8,-20.76,-42.47,103300,16000
21:29.9,-21.95,-42.42,103300,16000
21:30.0,-21.02,-42.44,103300,16000
21:30.0,-23.31,-42.44,103300,16000
21:30.1,-21.12,-42.42,103300,16000
21:30.1,-22.53,-42.42,103300,16000
21:30.2,-21.68,-42.36,103300,16000
21:30.2,-22.7,-42.4,103300,16000
21:30.3,-19.04,-42.42,103300,16000
21:30.3,-19.83,-42.42,103300,16000
21:30.3,-22.42,-42.34,103300,16000
21:30.4,-21.06,-42.35,103300,16000
21:30.4,-22.5,-42.35,103300,16000
21:30.5,-21.44,-42.39,103300,16000
21:30.6,-21.69,-42.41,103300,16000
21:30.6,-18.95,-42.41,103300,16000
21:30.7,-17.22,-42.5,103300,16000
21:30.7,-18.57,-42.53,103300,16000
21:30.7,-19.63,-42.58,103300,16000
21:30.8,-17.88,-42.58,103300,16000
21:30.9,-19.58,-42.59,103300,16000
21:30.9,-18.97,-42.63,103300,16000
21:30.9,-19.02,-42.65,103300,16000
21:31.0,-18.74,-42.69,103300,16000
21:31.1,-19.02,-42.65,103300,16000
21:31.1,-19.83,-42.65,103300,16000
21:31.2,-21.25,-42.66,103300,16000
21:31.2,-19.96,-42.65,103300,16000
21:31.3,-22.17,-42.62,103300,16000
21:31.3,-21.73,-42.62,103300,16000
21:31.4,-17.83,-42.66,103300,16000
21:31.4,-21.88,-42.66,103300,16000
21:31.5,-22,-42.63,103300,16000
21:31.5,-20.88,-42.65,103300,16000
21:31.6,-19.4,-42.66,103300,16000
21:31.6,-20.8,-42.66,103300,16000
21:31.7,-22.2,-42.68,103300,16000
21:31.7,-20.85,-42.67,103300,16000
21:31.8,-21.03,-42.65,103300,16000
21:31.8,-21.05,-42.66,103300,16000
21:31.8,-20.33,-42.67,103300,16000
21:31.9,-21.73,-42.66,103300,16000
21:31.9,-22.04,-42.66,103300,16000
21:32.0,-18.36,-42.66,103300,16000
21:32.0,-20.78,-42.68,103300,16000
21:32.1,-19.68,-42.69,103300,16000
21:32.2,-19.67,-42.69,103300,16000
21:32.2,-19.04,-42.67,103300,16000
21:32.3,-20.35,-42.71,103300,16000
21:32.3,-21.28,-42.74,103300,16000
21:32.4,-21.17,-42.72,103300,16000
21:32.4,-20.38,-42.72,103300,16000
21:32.5,-21.76,-42.71,103300,16000
21:32.6,-22.35,-42.64,103300,16000
21:32.6,-22.82,-42.63,103300,16000
21:32.7,-22.56,-42.61,103300,16000
21:32.7,-21.29,-42.63,103300,16000
21:32.8,-19.68,-42.63,103300,16000
21:32.8,-21.14,-42.63,103300,16000
21:32.9,-22.87,-42.61,103300,16000
21:32.9,-20.81,-42.63,103300,16000
21:33.0,-23.75,-42.61,103300,16000
21:33.0,-20.6,-42.58,103300,16000
21:33.1,-22.17,-42.59,103300,16000
21:33.1,-21.28,-42.57,103300,16000
21:33.1,-22.3,-42.57,103300,16000
21:33.2,-22.57,-42.61,103300,16000
21:33.2,-23.45,-42.61,103300,16000
21:33.3,-23.49,-42.58,103300,16000
21:33.3,-23.03,-42.58,103300,16000
21:33.4,-21.8,-42.58,103300,16000
21:33.5,-21.16,-42.56,103300,16000
21:33.5,-22.09,-42.54,103300,16000
21:33.6,-21.27,-42.56,103300,16000
21:33.6,-22.46,-42.55,103300,16000
21:33.7,-20.47,-42.53,103300,16000
21:33.7,-21.51,-42.53,103300,16000
21:33.7,-19.53,-42.54,103300,16000
21:33.8,-20.97,-42.55,103300,16000
21:33.9,-20.38,-42.58,103300,16000
21:33.9,-21.94,-42.58,103300,16000
21:34.0,-20.32,-42.55,103300,16000
21:34.0,-20.11,-42.53,103300,16000
21:34.1,-22.78,-42.52,103300,16000
21:34.1,-23.34,-42.5,103300,16000
21:34.2,-22.75,-42.5,103300,16000
21:34.2,-20.47,-42.48,103300,16000
21:34.3,-23.57,-42.49,103300,16000
21:34.4,-22.21,-42.49,103300,16000
21:34.4,-20.24,-42.45,103300,16000
21:34.4,-22.95,-42.44,103300,16000
21:34.5,-19.89,-42.45,103300,16000
21:34.6,-21.69,-42.45,103300,16000
21:34.6,-21.18,-42.41,103300,16000
21:34.6,-21.49,-42.4,103300,16000
21:34.7,-22.11,-42.37,103300,16000
21:34.8,-22.09,-42.36,103300,16000
21:34.8,-22.55,-42.33,103300,16000
21:34.8,-22.25,-42.29,103300,16000
21:34.9,-21.08,-42.28,103300,16000
21:34.9,-21.58,-42.29,103300,16000
21:35.0,-21.71,-42.3,103300,16000
21:35.1,-22.52,-42.33,103300,16000
21:35.1,-20.69,-42.33,103300,16000
21:35.2,-22.15,-42.33,103300,16000
21:35.2,-22.14,-42.3,103300,16000
21:35.3,-20.61,-42.26,103300,16000
21:35.3,-20.15,-42.26,103300,16000
21:35.4,-20.92,-42.26,103300,16000
21:35.4,-22.21,-42.21,103300,16000
21:35.4,-20.77,-42.22,103300,16000
21:35.5,-22.59,-42.24,103300,16000
21:35.6,-20.49,-42.24,103300,16000
21:35.6,-19.81,-42.3,103300,16000
21:35.7,-23.24,-42.3,103300,16000
21:35.7,-21.76,-42.37,103300,16000
21:35.7,-21.92,-42.37,103300,16000
21:35.8,-22.64,-42.4,103300,16000
21:35.8,-19.55,-42.41,103300,16000
21:35.9,-22.54,-42.41,103300,16000
21:35.9,-21.42,-42.42,103300,16000
21:36.0,-23.22,-42.42,103300,16000
21:36.1,-21.26,-42.42,103300,16000
21:36.1,-24.34,-42.44,103300,16000
21:36.2,-21.2,-42.47,103300,16000
21:36.2,-20.45,-42.46,103300,16000
21:36.3,-22.23,-42.45,103300,16000
21:36.3,-21.25,-42.43,103300,16000
21:36.3,-23.44,-42.43,103300,16000
21:36.4,-21.05,-42.49,103300,16000
21:36.5,-21.89,-42.46,103300,16000
21:36.5,-20.58,-42.45,103300,16000
21:36.6,-20.69,-42.43,103300,16000
21:36.6,-22.23,-42.43,103300,16000
21:36.7,-22.19,-42.36,103300,16000
21:36.7,-22.14,-42.34,103300,16000
21:36.8,-21.75,-42.3,103300,16000
21:36.8,-22.29,-42.29,103300,16000
21:36.9,-21.81,-42.26,103300,16000
21:36.9,-22.17,-42.26,103300,16000
21:37.0,-21.7,-42.23,103300,16000
21:37.0,-23.29,-42.21,103300,16000
21:37.1,-23.05,-42.21,103300,16000
21:37.1,-21.6,-42.19,103300,16000
21:37.1,-21.17,-42.18,103300,16000
21:37.2,-21.44,-42.18,103300,16000
21:37.2,-21.94,-42.19,103300,16000
21:37.3,-19.8,-42.22,103300,16000
21:37.4,-22.29,-42.22,103300,16000
21:37.4,-22.69,-42.21,103300,16000
21:37.4,-23.19,-42.25,103300,16000
21:37.5,-23.48,-42.25,103300,16000
21:37.6,-23.1,-42.33,103300,16000
21:37.6,-21.98,-42.39,103300,16000
21:37.6,-20.96,-42.39,103300,16000
21:37.7,-21.49,-42.32,103300,16000
21:37.8,-21.95,-42.29,103300,16000
21:37.8,-21.62,-42.31,103300,16000
21:37.9,-24.33,-42.29,103300,16000
21:37.9,-22.42,-42.29,103300,16000
21:38.0,-22.37,-42.35,103300,16000
21:38.0,-21.6,-42.35,103300,16000
21:38.1,-22.6,-42.34,103300,16000
21:38.1,-22.61,-42.36,103300,16000
21:38.2,-19.45,-42.35,103300,16000
21:38.2,-21.88,-42.31,103300,16000
21:38.3,-20.81,-42.28,103300,16000
21:38.3,-20.41,-42.27,103300,16000
21:38.4,-21.2,-42.25,103300,16000
21:38.4,-18.97,-42.28,103300,16000
21:38.4,-20.18,-42.28,103300,16000
21:38.5,-21.76,-42.29,103300,16000
21:38.5,-18.46,-42.29,103300,16000
21:38.6,-19.33,-42.3,103300,16000
21:38.7,-20.4,-42.3,103300,16000
21:38.7,-20.04,-42.3,103300,16000
21:38.7,-20.88,-42.38,103300,16000
21:38.8,-18.59,-42.38,103300,16000
21:38.8,-20.82,-42.43,103300,16000
21:38.9,-19.78,-42.4,103300,16000
21:38.9,-20.17,-42.4,103300,16000
21:39.0,-19.06,-42.39,103300,16000
21:39.1,-19.85,-42.39,103300,16000
21:39.1,-18.3,-42.42,103300,16000
21:39.2,-19.67,-42.43,103300,16000
21:39.2,-18.63,-42.45,103300,16000
21:39.3,-21.96,-42.49,103300,16000
21:39.3,-17.69,-42.49,103300,16000
21:39.4,-18.82,-42.53,103300,16000
21:39.5,-20.59,-42.54,103300,16000
21:39.5,-21.84,-42.49,103300,16000
21:39.6,-19.93,-42.49,103300,16000
21:39.6,-21.71,-42.36,103300,16000
21:39.7,-21.85,-42.36,103300,16000
21:39.8,-22.17,-42.36,103300,16000
21:39.8,-22,-42.34,103300,16000
21:39.9,-21.39,-42.31,103300,16000
21:39.9,-20.36,-42.3,103300,16000
21:40.0,-21.81,-42.25,103300,16000
21:40.1,-20.89,-42.22,103300,16000
21:40.2,-22.41,-42.18,103300,16000
21:40.2,-22.6,-42.19,103300,16000
21:40.3,-22.45,-42.16,103300,16000
21:40.4,-21.94,-42.16,103300,16000
21:40.4,-23.18,-42.17,103300,16000
21:40.4,-20.3,-42.17,103300,16000
21:40.6,-21.89,-42.15,103300,16000
21:40.6,-23.47,-42.18,103300,16000
21:40.7,-21.55,-42.22,103300,16000
21:40.8,-22.3,-42.24,103300,16000
21:40.8,-21.75,-42.27,103300,16000
21:40.9,-23.31,-42.27,103300,16000
21:41.0,-20.09,-42.28,103300,16000
21:41.0,-20.13,-42.32,103300,16000
21:41.1,-21.64,-42.33,103300,16000
21:41.1,-20.22,-42.33,103300,16000
21:41.2,-22.59,-42.34,103300,16000
21:41.3,-22.92,-42.38,103300,16000
21:41.3,-22.25,-42.39,103300,16000
21:41.3,-21.29,-42.36,103300,16000
21:41.4,-21.44,-42.36,103300,16000
21:41.4,-21.83,-42.36,103300,16000
21:41.5,-21.56,-42.36,103300,16000
21:41.6,-21.39,-42.34,103300,16000
21:41.7,-21.58,-42.33,103300,16000
21:41.8,-22.71,-42.31,103300,16000
21:41.8,-21.7,-42.29,103300,16000
21:41.9,-21.85,-42.29,103300,16000
21:41.9,-22.52,-42.34,103300,16000
21:41.9,-20.51,-42.31,103300,16000
21:42.0,-21.39,-42.31,103300,16000
21:42.1,-22.39,-42.32,103300,16000
21:42.2,-21.47,-42.34,103300,16000
21:42.3,-21.95,-42.28,103300,16000
21:42.3,-20.9,-42.25,103300,16000
21:42.4,-22.14,-42.29,103300,16000
21:42.5,-22.31,-42.27,103300,16000
21:42.5,-21.82,-42.26,103300,16000
21:42.6,-22.6,-42.31,103300,16000
21:42.6,-21.31,-42.38,103300,16000
21:42.6,-21.1,-42.4,103300,16000
21:42.7,-21.2,-42.4,103300,16000
21:42.7,-20.31,-42.41,103300,16000
21:42.8,-22.51,-42.45,103300,16000
21:42.9,-21.18,-42.43,103300,16000
21:43.0,-22.36,-42.4,103300,16000
21:43.1,-23.3,-42.41,103300,16000
21:43.1,-22.42,-42.38,103300,16000
21:43.2,-22.34,-42.38,103300,16000
21:43.2,-23.28,-42.46,103300,16000
21:43.4,-20.7,-42.52,103300,16000
21:43.4,-22.91,-42.51,103300,16000
21:43.5,-21.37,-42.58,103300,16000
21:43.5,-19.52,-42.58,103300,16000
21:43.6,-22.83,-42.58,103300,16000
21:43.7,-21.46,-42.53,103300,16000
21:43.8,-21.9,-42.55,103300,16000
21:43.8,-21.91,-42.58,103300,16000
21:43.9,-22.29,-42.53,103300,16000
21:43.9,-19.27,-42.55,103300,16000
21:43.9,-22.41,-42.56,103300,16000
21:44.0,-22.63,-42.56,103300,16000
21:44.1,-21.68,-42.52,103300,16000
21:44.1,-22.71,-42.56,103300,16000
21:44.2,-22.97,-42.54,103300,16000
21:44.3,-19.33,-42.49,103300,16000
21:44.3,-21.29,-42.39,103300,16000
21:44.4,-20.77,-42.39,103300,16000
21:44.5,-20.32,-42.43,103300,16000
21:44.6,-18.24,-42.41,103300,16000
21:44.6,-19.72,-42.42,103300,16000
21:44.7,-20.3,-42.41,103300,16000
21:44.7,-20.5,-42.38,103300,16000
21:44.8,-19.95,-42.38,103300,16000
21:44.9,-20.4,-42.34,103300,16000
21:44.9,-18.34,-42.37,103300,16000
21:44.9,-18.58,-42.4,103300,16000
21:45.0,-22.1,-42.39,103300,16000
21:45.1,-23.12,-42.44,103300,16000
21:45.1,-21.99,-42.47,103300,16000
21:45.2,-23.7,-42.48,103300,16000
21:45.2,-22.38,-42.5,103300,16000
21:45.3,-20.68,-42.51,103300,16000
21:45.4,-22.12,-42.54,103300,16000
21:45.4,-21.64,-42.5,103300,16000
21:45.5,-23.52,-42.46,103300,16000
21:45.6,-21.84,-42.46,103300,16000
21:45.6,-21.47,-42.47,103300,16000
21:45.7,-19.89,-42.47,103300,16000
21:45.8,-21.88,-42.48,103300,16000
21:45.8,-21.79,-42.51,103300,16000
21:45.8,-22.16,-42.46,103300,16000
21:45.9,-22.86,-42.46,103300,16000
21:46.0,-24.01,-42.43,103300,16000
21:46.0,-21.94,-42.46,103300,16000
21:46.1,-20.71,-42.47,103300,16000
21:46.1,-23.39,-42.44,103300,16000
21:46.2,-23.94,-42.47,103300,16000
21:46.3,-23.62,-42.45,103300,16000
21:46.4,-22.14,-42.49,103300,16000
21:46.4,-20.27,-42.47,103300,16000
21:46.5,-21.37,-42.52,103300,16000
21:46.5,-19.75,-42.52,103300,16000
21:46.6,-22.29,-42.52,103300,16000
21:46.6,-21.11,-42.51,103300,16000
21:46.7,-20.86,-42.51,103300,16000
21:46.7,-23.21,-42.47,103300,16000
21:46.8,-22.46,-42.49,103300,16000
21:46.9,-22.68,-42.45,103300,16000
21:46.9,-21.97,-42.5,103300,16000
21:46.9,-18.68,-42.55,103300,16000
21:47.0,-20.35,-42.52,103300,16000
21:47.1,-21.92,-42.5,103300,16000
21:47.1,-19.94,-42.49,103300,16000
21:47.2,-22.86,-42.46,103300,16000
21:47.3,-19.12,-42.45,103300,16000
21:47.3,-19.41,-42.45,103300,16000
21:47.4,-21.78,-42.45,103300,16000
21:47.5,-22.32,-42.46,103300,16000
21:47.5,-20.88,-42.46,103300,16000
21:47.6,-22.58,-42.49,103300,16000
21:47.6,-20.63,-42.45,103300,16000
21:47.7,-20.98,-42.46,103300,16000
21:47.8,-20.29,-42.45,103300,16000
21:47.9,-20.72,-42.47,103300,16000
21:47.9,-22.61,-42.48,103300,16000
21:47.9,-22.6,-42.45,103300,16000
21:48.0,-21.97,-42.47,103300,16000
21:48.0,-22.86,-42.47,103300,16000
21:48.2,-22.47,-42.45,103300,16000
21:48.2,-23.1,-42.5,103300,16000
21:48.3,-21.73,-42.49,103300,16000
21:48.3,-22.64,-42.54,103300,16000
21:48.4,-21.91,-42.52,103300,16000
21:48.4,-21.85,-42.5,103300,16000
21:48.5,-21.47,-42.51,103300,16000
21:48.6,-22.03,-42.5,103300,16000
21:48.7,-22.97,-42.51,103300,16000
21:48.7,-21.6,-42.54,103300,16000
21:48.8,-22.44,-42.55,103300,16000
21:48.8,-22.88,-42.56,103300,16000
21:48.9,-22.74,-42.55,103300,16000
21:49.0,-22.5,-42.53,103300,16000
21:49.0,-19.66,-42.54,103300,16000
21:49.1,-22.7,-42.54,103300,16000
21:49.1,-22.42,-42.54,103300,16000
21:49.2,-22.59,-42.55,103300,16000
21:49.2,-22.24,-42.54,103300,16000
21:49.3,-20.94,-42.5,103300,16000
21:49.3,-22.12,-42.48,103300,16000
21:49.4,-21.4,-42.47,103300,16000
21:49.4,-21.61,-42.49,103300,16000
21:49.5,-20.12,-42.45,103300,16000
21:49.6,-22.72,-42.42,103300,16000
21:49.7,-21.01,-42.42,103300,16000
21:49.7,-21.64,-42.4,103300,16000
21:49.8,-20.95,-42.38,103300,16000
21:49.9,-23.15,-42.38,103300,16000
21:49.9,-22.02,-42.42,103300,16000
21:49.9,-19.7,-42.39,103300,16000
21:50.1,-18.08,-42.37,103300,16000
21:50.1,-21.42,-42.41,103300,16000
21:50.2,-21,-42.42,103300,16000
21:50.2,-21.49,-42.41,103300,16000
21:50.3,-22.77,-42.44,103300,16000
21:50.3,-23.25,-42.44,103300,16000
21:50.4,-20.78,-42.46,103300,16000
21:50.5,-22.36,-42.49,103300,16000
21:50.5,-22.17,-42.48,103300,16000
21:50.6,-24.27,-42.49,103300,16000
21:50.6,-24.19,-42.56,103300,16000
21:50.6,-22.84,-42.59,103300,16000
21:50.8,-23.67,-42.61,103300,16000
21:50.8,-21.94,-42.64,103300,16000
21:50.9,-22.92,-42.69,103300,16000
21:50.9,-20.12,-42.68,103300,16000
21:51.0,-20.48,-42.66,103300,16000
21:51.1,-20.2,-42.6,103300,16000
21:51.2,-21.08,-42.6,103300,16000
21:51.3,-22.11,-42.59,103300,16000
21:51.4,-22.11,-42.62,103300,16000
21:51.4,-22,-42.55,103300,16000
21:51.5,-22.74,-42.58,103300,16000
21:51.6,-19.71,-42.58,103300,16000
21:51.6,-20.36,-42.55,103300,16000
21:51.7,-18.94,-42.51,103300,16000
21:51.7,-18.16,-42.48,103300,16000
21:51.8,-18.44,-42.48,103300,16000
21:51.8,-17.98,-42.48,103300,16000
21:51.9,-18.77,-42.42,103300,16000
21:52.0,-18.85,-42.41,103300,16000
21:52.0,-18.63,-42.42,103300,16000
21:52.1,-22.27,-42.44,103300,16000
21:52.1,-22.7,-42.44,103300,16000
21:52.1,-21.8,-42.45,103300,16000
21:52.2,-22.99,-42.46,103300,16000
21:52.3,-21.68,-42.42,103300,16000
21:52.3,-21.62,-42.41,103300,16000
21:52.4,-22.46,-42.45,103300,16000
21:52.5,-22.58,-42.45,103300,16000
21:52.6,-21.78,-42.45,103300,16000
21:52.7,-22.76,-42.45,103300,16000
21:52.7,-21.54,-42.44,103300,16000
21:52.7,-21.06,-42.4,103300,16000
21:52.8,-21.98,-42.34,103300,16000
21:52.9,-21.15,-42.34,103300,16000
21:53.0,-21.82,-42.32,103300,16000
21:53.1,-21.52,-42.3,103300,16000
21:53.2,-22.39,-42.27,103300,16000
21:53.2,-20.81,-42.23,103300,16000
21:53.3,-22.47,-42.24,103300,16000
21:53.3,-21.21,-42.21,103300,16000
21:53.4,-22.62,-42.22,103300,16000
21:53.4,-21.4,-42.19,103300,16000
21:53.5,-21.58,-42.14,103300,16000
21:53.6,-22.92,-42.18,103300,16000
21:53.6,-21.73,-42.23,103300,16000
21:53.7,-23.35,-42.21,103300,16000
21:53.8,-22.17,-42.24,103300,16000
21:53.8,-18.46,-42.25,103300,16000
21:53.9,-17.99,-42.24,103300,16000
21:53.9,-19.37,-42.23,103300,16000
21:54.0,-18.83,-42.23,103300,16000
21:54.1,-19.84,-42.23,103300,16000
21:54.2,-19.97,-42.23,103300,16000
21:54.3,-20.29,-42.22,103300,16000
21:54.3,-21.25,-42.23,103300,16000
21:54.4,-20.15,-42.22,103300,16000
21:54.4,-21.78,-42.22,103300,16000
21:54.5,-20.96,-42.23,103300,16000
21:54.6,-20.77,-42.27,103300,16000
21:54.6,-19.97,-42.24,103300,16000
21:54.7,-20.57,-42.27,103300,16000
21:54.7,-20.88,-42.3,103300,16000
21:54.7,-21.73,-42.33,103300,16000
21:54.8,-22.64,-42.37,103300,16000
21:54.9,-20.56,-42.43,103300,16000
21:55.0,-20.32,-42.46,103300,16000
21:55.1,-20.67,-42.49,103300,16000
21:55.1,-20.94,-42.53,103300,16000
