Time,Level,Noise,Frequency,Bandwidth
19:34.1,-22.21,-42.16,103300,16000
19:34.2,-21.22,-42.14,103300,16000
19:34.2,-21.88,-42.14,103300,16000
19:34.3,-22.84,-42.17,103300,16000
19:34.4,-22.21,-42.17,103300,16000
19:34.4,-23.46,-42.14,103300,16000
19:34.5,-22.42,-42.13,103300,16000
19:34.5,-22.72,-42.13,103300,16000
19:34.6,-22.16,-42.12,103300,16000
19:34.6,-20.86,-42.12,103300,16000
19:34.7,-21.38,-42.12,103300,16000
19:34.7,-23.64,-42.07,103300,16000
19:34.8,-22.43,-42.08,103300,16000
19:34.8,-22.62,-42.13,103300,16000
19:34.9,-22.69,-42.13,103300,16000
19:34.9,-21.97,-42.11,103300,16000
19:35.0,-21.54,-42.11,103300,16000
19:35.0,-20.59,-42.09,103300,16000
19:35.1,-20.57,-42.07,103300,16000
19:35.1,-21.78,-42.02,103300,16000
19:35.1,-22.21,-42.02,103300,16000
19:35.2,-21.93,-41.92,103300,16000
19:35.2,-20.61,-41.92,103300,16000
19:35.3,-21.64,-41.93,103300,16000
19:35.3,-21.45,-41.93,103300,16000
19:35.4,-23.05,-41.91,103300,16000
19:35.4,-19.91,-41.91,103300,16000
19:35.5,-22.41,-41.94,103300,16000
19:35.6,-23.32,-41.94,103300,16000
19:35.6,-22.16,-41.96,103300,16000
19:35.7,-20.69,-41.95,103300,16000
19:35.7,-21.88,-41.98,103300,16000
19:35.8,-23.03,-41.98,103300,16000
19:35.8,-22.3,-41.96,103300,16000
19:35.8,-19.67,-41.96,103300,16000
19:35.9,-22.96,-41.92,103300,16000
19:35.9,-20.99,-41.94,103300,16000
19:36.0,-23.22,-41.93,103300,16000
19:36.1,-21.17,-41.95,103300,16000
19:36.1,-21.85,-41.95,103300,16000
19:36.2,-20.75,-41.93,103300,16000
19:36.2,-21.24,-42.04,103300,16000
19:36.3,-21.8,-41.99,103300,16000
19:36.3,-21.8,-41.98,103300,16000
19:36.4,-21.92,-41.98,103300,16000
19:36.5,-18.44,-41.99,103300,16000
19:36.5,-21.76,-41.94,103300,16000
19:36.6,-21.55,-41.89,103300,16000
19:36.6,-21.79,-41.82,103300,16000
19:36.7,-21.9,-41.81,103300,16000
19:36.7,-20.79,-41.76,103300,16000
19:36.7,-18.47,-41.73,103300,16000
19:36.8,-21.08,-41.67,103300,16000
19:36.9,-22.65,-41.7,103300,16000
19:36.9,-21.2,-41.72,103300,16000
19:36.9,-22.86,-41.7,103300,16000
19:37.0,-23.12,-41.68,103300,16000
19:37.1,-22.21,-41.67,103300,16000
19:37.1,-21.81,-41.65,103300,16000
19:37.2,-20.21,-41.68,103300,16000
19:37.2,-21.04,-41.59,103300,16000
19:37.3,-21.64,-41.62,103300,16000
19:37.3,-22.25,-41.63,103300,16000
19:37.4,-21.51,-41.64,103300,16000
19:37.4,-22.89,-41.65,103300,16000
19:37.5,-22.46,-41.66,103300,16000
19:37.5,-23.98,-41.71,103300,16000
19:37.6,-21.78,-41.77,103300,16000
19:37.6,-23.13,-41.8,103300,16000
19:37.7,-21.35,-41.83,103300,16000
19:37.7,-22.05,-41.88,103300,16000
19:37.8,-21.94,-41.91,103300,16000
19:37.8,-21.44,-41.95,103300,16000
19:37.8,-21.34,-41.92,103300,16000
19:37.9,-22.03,-41.95,103300,16000
19:37.9,-22.38,-41.97,103300,16000
19:38.0,-21.72,-41.96,103300,16000
19:38.0,-20.39,-41.95,103300,16000
19:38.1,-22.68,-41.95,103300,16000
19:38.2,-22.04,-41.94,103300,16000
19:38.3,-22.47,-42,103300,16000
19:38.3,-20.99,-41.99,103300,16000
19:38.4,-20.88,-41.97,103300,16000
19:38.4,-21.03,-41.9,103300,16000
19:38.4,-22.94,-41.91,103300,16000
19:38.5,-22.09,-41.91,103300,16000
19:38.6,-23.61,-41.83,103300,16000
19:38.6,-21.07,-41.8,103300,16000
19:38.7,-20.87,-41.79,103300,16000
19:38.7,-21.82,-41.79,103300,16000
19:38.8,-22.82,-41.69,103300,16000
19:38.8,-22.52,-41.68,103300,16000
19:38.9,-21.76,-41.69,103300,16000
19:38.9,-22.37,-41.72,103300,16000
19:39.0,-21.27,-41.73,103300,16000
19:39.0,-21.42,-41.71,103300,16000
19:39.1,-20.29,-41.72,103300,16000
19:39.1,-21.6,-41.71,103300,16000
19:39.2,-21.35,-41.67,103300,16000
19:39.2,-22.11,-41.7,103300,16000
19:39.2,-20.14,-41.68,103300,16000
19:39.3,-19.45,-41.67,103300,16000
19:39.3,-22.36,-41.64,103300,16000
19:39.4,-21.56,-41.68,103300,16000
19:39.5,-21.91,-41.68,103300,16000
19:39.5,-22.91,-41.7,103300,16000
19:39.6,-21.29,-41.75,103300,16000
19:39.6,-22.61,-41.75,103300,16000
19:39.7,-21.53,-41.72,103300,16000
19:39.7,-20.25,-41.72,103300,16000
19:39.7,-22.83,-41.74,103300,16000
19:39.8,-22.57,-41.78,103300,16000
19:39.8,-22.98,-41.83,103300,16000
19:39.9,-21.63,-41.79,103300,16000
19:40.0,-20.5,-41.82,103300,16000
19:40.0,-21.77,-41.87,103300,16000
19:40.1,-23.63,-41.87,103300,16000
19:40.1,-22.74,-41.87,103300,16000
19:40.2,-22.08,-41.95,103300,16000
19:40.2,-23.07,-41.91,103300,16000
19:40.3,-19.56,-41.93,103300,16000
19:40.3,-21.61,-41.93,103300,16000
19:40.4,-19.82,-41.95,103300,16000
19:40.4,-21.14,-41.91,103300,16000
19:40.5,-22.13,-41.86,103300,16000
19:40.5,-20.35,-41.84,103300,16000
19:40.6,-21.66,-41.79,103300,16000
19:40.6,-21.15,-41.79,103300,16000
19:40.6,-22.07,-41.83,103300,16000
19:40.7,-21.8,-41.83,103300,16000
19:40.8,-21.05,-41.9,103300,16000
19:40.8,-22.54,-41.87,103300,16000
19:40.8,-22.65,-41.83,103300,16000
19:40.9,-23.03,-41.82,103300,16000
19:40.9,-21.04,-41.78,103300,16000
19:41.0,-21.86,-41.77,103300,16000
19:41.1,-21.68,-41.77,103300,16000
19:41.1,-21.68,-41.7,103300,16000
19:41.2,-20.35,-41.7,103300,16000
19:41.2,-21.83,-41.73,103300,16000
19:41.3,-23,-41.73,103300,16000
19:41.3,-23.8,-41.73,103300,16000
19:41.4,-22.48,-41.83,103300,16000
19:41.4,-22.89,-41.89,103300,16000
19:41.4,-20.43,-41.92,103300,16000
19:41.5,-20.86,-41.9,103300,16000
19:41.6,-20.15,-41.89,103300,16000
19:41.6,-20.46,-41.89,103300,16000
19:41.7,-20.61,-41.9,103300,16000
19:41.7,-18.07,-41.93,103300,16000
19:41.8,-16.29,-41.82,103300,16000
19:41.8,-21.77,-41.82,103300,16000
19:41.9,-19.16,-41.81,103300,16000
19:41.9,-19.54,-41.82,103300,16000
19:41.9,-18.65,-41.82,103300,16000
19:42.0,-20.5,-41.76,103300,16000
19:42.0,-22.56,-41.76,103300,16000
19:42.1,-22.71,-41.79,103300,16000
19:42.2,-19.48,-41.82,103300,16000
19:42.2,-19.51,-41.82,103300,16000
19:42.3,-21.08,-41.69,103300,16000
19:42.3,-21.02,-41.68,103300,16000
19:42.3,-22.65,-41.64,103300,16000
19:42.4,-21.08,-41.63,103300,16000
19:42.5,-21.59,-41.58,103300,16000
19:42.5,-22.14,-41.64,103300,16000
19:42.6,-21.72,-41.64,103300,16000
19:42.6,-22.92,-41.72,103300,16000
19:42.7,-21.89,-41.7,103300,16000
19:42.7,-19.6,-41.66,103300,16000
19:42.8,-22.22,-41.74,103300,16000
19:42.8,-20.56,-41.72,103300,16000
19:42.9,-21.8,-41.7,103300,16000
19:42.9,-21.28,-41.68,103300,16000
19:43.0,-22.33,-41.66,103300,16000
19:43.0,-22.81,-41.72,103300,16000
19:43.1,-22.2,-41.77,103300,16000
19:43.1,-21.57,-41.77,103300,16000
19:43.2,-21.62,-41.73,103300,16000
19:43.2,-21.59,-41.75,103300,16000
19:43.2,-22.93,-41.79,103300,16000
19:43.3,-21.7,-41.82,103300,16000
19:43.4,-22.94,-41.8,103300,16000
19:43.4,-21.25,-41.76,103300,16000
19:43.5,-20.4,-41.82,103300,16000
19:43.6,-23.31,-41.81,103300,16000
19:43.6,-21.11,-41.81,103300,16000
19:43.6,-23.07,-41.76,103300,16000
19:43.7,-21.06,-41.83,103300,16000
19:43.7,-20.26,-41.82,103300,16000
19:43.8,-20.87,-41.83,103300,16000
19:43.9,-21.27,-41.78,103300,16000
19:43.9,-21.52,-41.78,103300,16000
19:44.0,-22.14,-41.77,103300,16000
19:44.0,-21.46,-41.77,103300,16000
19:44.1,-21.76,-41.68,103300,16000
19:44.1,-23.12,-41.68,103300,16000
19:44.2,-23.62,-41.69,103300,16000
19:44.2,-22.59,-41.69,103300,16000
19:44.3,-20.64,-41.78,103300,16000
19:44.3,-21.45,-41.76,103300,16000
19:44.4,-22.08,-41.76,103300,16000
19:44.4,-19.73,-41.78,103300,16000
19:44.5,-21.19,-41.75,103300,16000
19:44.5,-21.49,-41.75,103300,16000
19:44.6,-22.18,-41.71,103300,16000
19:44.6,-19.83,-41.71,103300,16000
19:44.6,-21.65,-41.71,103300,16000
